"PC1" "PC2" "PC3"
"Sample1" -5.75578585210629 96.1609817016339 -39.5548482642927
"Sample2" -88.2858839201084 129.335482941048 21.4167264495486
"Sample3" -4.21685607012602 74.3487266242761 -2.60562452065371
"Sample4" -25.1693518044123 189.002545723592 26.8899330759817
"Sample5" 0.253039226544841 112.800812064212 11.3433148270239
"Sample6" -207.523819227454 -158.120669188955 -371.205701350398
"Sample7" -68.8988203738603 60.6164608600095 -37.6067236950289
"Sample8" 48.337059481805 18.3208445183688 -8.41699427580864
"Sample9" -23.1225969101803 96.4301448753137 3.4447769253284
"Sample10" -53.0936709111267 106.016262046204 2.49303379508301
"Sample11" 213.456123739253 -153.145882014539 -9.74091264348664
"Sample12" -77.8738138143633 265.117440427165 76.705214702295
"Sample13" -393.717287567959 -175.851532693149 -492.633431574037
"Sample14" -341.999417030495 -155.603129906634 -440.093680987483
"Sample15" -371.856405943927 -165.998483383816 -441.956414671168
"Sample16" -246.789862676808 -61.9983234443374 -329.453022609013
"Sample17" -10.4692298693929 88.1398833418064 -45.0742749668603
"Sample18" -60.4047531190929 66.4860473711117 -34.785916991453
"Sample19" -44.0938036938301 86.2830955790227 -20.0109798170257
"Sample20" -444.56310336338 -322.568253100435 266.805238398543
"Sample21" -490.367211010422 -356.412003661636 270.71166857191
"Sample22" -44.691142939632 228.810443573794 81.2858973175052
"Sample23" -3.02859854745882 42.7977722192689 -11.5968226890717
"Sample24" -222.817147108601 -59.7917242651408 -64.3891710149232
"Sample25" -118.944108140611 112.896756890653 14.7053010912359
"Sample26" -309.521751950225 -133.539899252138 20.2531769785683
"Sample27" -163.701053591812 -61.8249188272288 35.5379931377676
"Sample28" -429.508206614663 -306.899418100373 231.537647020003
"Sample29" -445.764799396242 -230.190770454757 -504.416085276754
"Sample30" -90.9484272566242 30.7052128198099 -9.95177786533295
"Sample31" -59.2039963608836 49.4927879994949 2.87010653631937
"Sample32" -257.386524011467 -65.5674934824119 178.704196280865
"Sample33" -152.779429443224 36.393086940002 -90.4242879170589
"Sample34" -68.7053680560347 110.678844951351 27.1462973772637
"Sample35" 8.89736482362223 77.0510975847029 -23.0643359006995
"Sample36" -275.490264025446 -191.474082525123 -435.215643277675
"Sample37" -322.565943689445 -176.945134216945 -511.730994507453
"Sample38" -519.915232592219 -382.136204605941 287.064766127748
"Sample39" -515.571650480547 -379.615126689094 287.516066224239
"Sample40" -47.5935075257126 62.1122425288832 -19.0433930820257
