"PC1" "PC2" "PC3"
"Sample1" 7.06950547099453 -108.512871050287 35.4021757681213
"Sample2" 78.3169843506989 -138.713339507592 -32.3998611494307
"Sample3" -2.92105360894347 -66.3367400993598 2.25420228616303
"Sample4" 24.4081328485971 -197.665328696271 -45.8360421066998
"Sample5" -4.61642156968885 -119.826232497429 -14.8762989837385
"Sample6" 204.340429023879 178.231399973075 334.661614811614
"Sample7" 55.6736952544845 -77.4812333393367 21.4125756827183
"Sample8" -50.1623289356176 -18.835804514511 18.3433126091434
"Sample9" 20.1474762025402 -103.347342516789 -2.70452580443624
"Sample10" 57.0313684935064 -114.550791040643 -8.98125146103343
"Sample11" -207.424534991967 150.583251814425 15.2141109320403
"Sample12" 68.9164968933427 -263.297098156263 -92.8792429636503
"Sample13" 368.196917869994 165.603718431083 466.318127861963
"Sample14" 330.162508776796 152.129219543108 421.014561428997
"Sample15" 399.740444349897 208.352043292068 452.822753475595
"Sample16" 224.106944025669 57.7798171851623 294.950090215039
"Sample17" 13.225383340682 -91.2353419219924 40.0182628798742
"Sample18" 49.4601890645788 -77.9767502487962 33.5032944589791
"Sample19" 40.8943826089992 -82.7392638374867 17.9401011016884
"Sample20" 434.01267731169 306.598219305962 -236.250247350019
"Sample21" 497.777970373908 357.515385360605 -237.64700356968
"Sample22" 49.1857144840601 -212.28405267989 -60.3465553200123
"Sample23" -8.34310519242694 -40.7276613170143 13.0276486264384
"Sample24" 216.018682251166 60.0516995781535 36.0835559009961
"Sample25" 105.616172941671 -129.361449399635 -27.6700390817129
"Sample26" 311.901350733386 133.125700188068 -7.82216729141826
"Sample27" 151.011704122627 44.6633739855751 -37.6652196749206
"Sample28" 441.953100377913 309.256551308158 -200.964009869637
"Sample29" 447.622622791446 252.74310175441 476.542371189488
"Sample30" 82.595870820247 -42.9248755377455 5.01854121084361
"Sample31" 48.9697400353447 -62.8917926827085 -10.2483452786352
"Sample32" 234.387186466732 18.1593229221217 -207.318174183053
"Sample33" 140.484610205485 -39.9369610530016 59.4451269983795
"Sample34" 67.9087988597169 -118.660625866421 -45.4073265340193
"Sample35" -5.65562398686229 -67.4779967134486 32.5699805469099
"Sample36" 231.301832420823 191.307287895727 387.566441331751
"Sample37" 321.437067454913 199.665961309705 480.396031304942
"Sample38" 533.401074250839 385.506615735158 -253.304788562845
"Sample39" 528.472582168193 382.742321282205 -253.833627759921
"Sample40" 54.9917706410118 -55.2973020255057 26.1829447222359
"Sample41" 193.579928782792 15.7666710669761 -218.722475383318
"Sample42" -12.5767492994767 -118.514449651931 -19.6956951531374
"Sample43" 126.055848885621 -60.7851882437833 118.502575533525
"Sample44" 325.628708976776 163.482551517591 49.6824658378415
"Sample45" 49.001907903813 -72.8464067483526 -5.49088960513764
"Sample46" 20.8727613655762 -259.715430179922 -87.5885409600679
"Sample47" 1.65500190888922 -184.405954673665 -46.8415021367935
"Sample48" 44.2718045607992 -84.020173254888 58.7191442183142
"Sample49" 52.0218793390315 -53.2059621079588 38.6744765709026
"Sample50" 33.4048733183785 -86.0820837092803 55.5217226618418
"Sample51" 94.8065467395276 -74.0618189721071 -102.195994620398
"Sample52" 115.911224724617 4.79599210565003 14.9522949055956
"Sample53" -0.492198986174117 -32.5531884574496 -8.23610596340019
"Sample54" -4.8017398403637 -62.1038892283955 3.80073158636412
"Sample55" 48.7963790462613 -95.1629069090875 37.6695645006203
"Sample56" -37.9605708616749 -49.2643593710314 40.062459994587
"Sample57" -57.6621439019104 -56.9886800987226 17.5323852142357
"Sample58" 294.969754541272 120.187959415649 350.896496731613
"Sample59" 286.841711546041 125.370112548321 349.222755137232
"Sample60" 19.7103929493635 -108.377191133363 7.52441880365233
"Sample61" 27.3263813659169 -115.433232773205 9.29540128243693
"Sample62" -226.062611457334 131.343047735609 15.6824663102544
"Sample63" -148.57544174746 71.8443906815694 7.17611387824311
"Sample64" -137.644247702992 56.4037129764997 -20.5678144970511
"Sample65" -230.241514297956 133.724330823595 12.4700023370389
"Sample66" -219.583017188878 134.582803272515 1.48050794327967
"Sample67" -205.367534478615 117.765808123795 15.1494305403625
"Sample68" -190.661821507344 115.243468716467 22.0490077675569
"Sample69" -197.360972201507 118.353785989171 14.8728468688888
"Sample70" -193.119853559908 110.964095654537 17.5592288464918
"Sample71" -189.07401543812 108.833918264387 17.9433499521592
"Sample72" -194.732405957503 125.633225265794 -16.4630702827033
"Sample73" -215.05461901684 108.61014044811 -7.31623805537855
"Sample74" -230.341358541121 123.959725157363 7.69036129371729
"Sample75" -208.532015808099 126.044904088226 3.16236128788682
"Sample76" -211.051344835579 132.404009675494 2.97199301927577
"Sample77" -198.327857757411 127.506918148467 -5.69605546233449
"Sample78" -206.258764330799 132.768702450311 -2.98598329118432
"Sample79" -218.284697857301 129.573096691058 -5.380001993962
"Sample80" -204.892839783991 128.173087255521 -20.1110361991921
"Sample81" -201.710000709337 121.0845333716 16.3212336938038
"Sample82" -196.607188895645 76.7681032009121 -7.72516935225673
"Sample83" -209.398145313436 120.6932917069 12.8461992494348
"Sample84" -207.696526238521 101.322799883494 0.624557496860337
"Sample85" -156.321304884964 120.302602350187 64.9264822865274
"Sample86" -127.25549406158 74.4196978168132 12.200218648189
