"PC1" "PC2" "PC3"
"Sample1" 2.36942853525992 -108.972880870888 23.3976344264731
"Sample2" 78.1755025145839 -136.520480553679 -49.5680302801655
"Sample3" 6.3689076657631 -66.9992330089311 15.7039715035078
"Sample4" 11.325757294168 -198.797150119677 -71.5189372374362
"Sample5" -0.992417638441242 -128.595055398871 0.432725890519579
"Sample6" 247.512423998292 204.367979458207 365.46308800727
"Sample7" 78.3810189652173 -50.8357948050426 13.442355118566
"Sample8" -53.7263033569976 -19.4668751006645 24.0796416855652
"Sample9" 31.5316084284126 -95.3616900341637 -2.33340681712212
"Sample10" 61.8469427666885 -99.4590985357726 -2.50303102438441
"Sample11" -205.188849021704 148.897360028942 11.2513156276928
"Sample12" 86.4819089176282 -261.384040906179 -108.504208825173
"Sample13" 372.992426042632 206.332257400197 425.358502622113
"Sample14" 320.984785691121 179.056202220383 382.757476769622
"Sample15" 374.724668024335 223.377241586834 388.604707255739
"Sample16" 246.354952567594 85.48355699758 306.673488042052
"Sample17" 17.0094652681268 -85.1982610049563 31.5078902369634
"Sample18" 64.5007382212786 -57.2224740234859 31.852622842985
"Sample19" 54.1187842819541 -79.9675639231722 25.6807406000083
"Sample20" 409.105364972175 283.364932503858 -222.816466566024
"Sample21" 464.524374758145 327.231052682078 -229.505880540873
"Sample22" 49.8681570930506 -209.442788332282 7.9757591710517
"Sample23" -25.1894059335609 -44.9474657556226 -6.91195489162743
"Sample24" 231.426304961552 68.9059751328201 24.9193487436008
"Sample25" 133.871162618444 -111.446219794652 -28.0705149631613
"Sample26" 318.356377952125 145.294015495619 -33.8448404553555
"Sample27" 159.506135757944 52.6779775827762 -60.4004746874207
"Sample28" 412.623695859797 283.271744640556 -189.26044697703
"Sample29" 451.113937624392 296.07629552471 439.118530957913
"Sample30" 66.0033266535697 -42.9103762110402 -26.4914500964446
"Sample31" 73.5132173509265 -49.6594850985172 -2.42068319443043
"Sample32" 238.737253379223 52.2503131332934 -314.634283257496
"Sample33" 150.483352100058 -10.6413592195435 64.5551468202605
"Sample34" 79.8701387830769 -121.340572666473 -44.9924022881152
"Sample35" -2.57031791306394 -67.1009845096829 28.0042962726199
"Sample36" 253.999149945829 234.329641587878 398.220606124693
"Sample37" 328.088963068597 241.103049681659 447.465834142712
"Sample38" 501.509433567085 357.110731190638 -247.668566309865
"Sample39" 497.236256350454 354.495232965962 -248.08370872425
"Sample40" 39.9141893514223 -49.8544479777425 27.7125509691891
"Sample41" 200.675988709749 29.0152653646271 -284.437635807221
"Sample42" -17.4531723698015 -107.634143634129 -0.269905272209177
"Sample43" 143.57606352577 -40.5617113039738 104.445567968357
"Sample44" 306.844399067569 184.888888515237 -15.4163778884757
"Sample45" 56.9190481514547 -80.3426293961074 7.05660234273368
"Sample46" 23.9755914676547 -256.884751901588 -3.86295485597909
"Sample47" 5.34295460260915 -178.03594742172 9.11907456024726
"Sample48" 44.2322376681964 -77.2654853703777 56.5079185722753
"Sample49" 55.6621950998806 -51.3799646218024 29.4755874217683
"Sample50" 52.5001018158415 -79.7897719962003 61.6125955140882
"Sample51" 79.7976577595384 -97.1451152000864 -18.1165765277208
"Sample52" 110.72086575192 5.97863922824398 -7.14934509538411
"Sample53" 8.57890858940011 -30.0505134712541 3.41660487699155
"Sample54" 7.30821797846998 -61.894380895873 1.02921109270202
"Sample55" 31.490082552399 -94.2743105626245 16.2530353654577
"Sample56" -42.96592622861 -35.344924411833 42.7634436124626
"Sample57" -61.6724139870187 -44.5559055191358 12.1929045820558
"Sample58" 326.049471418555 161.689900610632 360.963312747244
"Sample59" 317.693135758467 166.495024045389 359.815024464167
"Sample60" 24.1229119729996 -130.756134898883 21.4952942944262
"Sample61" 31.7771325035657 -137.860697951229 23.4875730078316
"Sample62" -229.495436628163 133.191853054995 16.7064818391337
"Sample63" -137.449439714279 50.9358158185919 22.1255624767237
"Sample64" -132.650900151567 38.4857487487719 -9.43060616357696
"Sample65" -234.461396553122 135.553042602314 13.1530816337375
"Sample66" -222.26072809616 123.595300909025 11.3770250130447
