"PC1" "PC2" "PC3"
"Sample1" -11.949945035048 103.878835868308 -24.7680241327072
"Sample2" -95.8377520102202 131.898536883505 41.365351470948
"Sample3" -1.80552485889962 66.3592910471573 -0.941690182054539
"Sample4" -37.4953528088785 189.496534902952 40.8409900187378
"Sample5" 1.91465189038086 121.464228100686 5.85940605636848
"Sample6" -221.955016484395 -180.924459324379 -359.112606937658
"Sample7" -66.4924054503749 62.0411358134486 -23.4476260661437
"Sample8" 62.2958177482129 11.03291123565 -14.8018859398487
"Sample9" -19.2759339796928 101.989529547665 13.0657977197663
"Sample10" -59.3936832994218 111.2781513818 16.1572473021958
"Sample11" 211.370444073581 -143.469808755864 -10.1599056692642
"Sample12" -84.9143000676777 273.075891266315 99.017235350106
"Sample13" -396.194670384392 -185.750868381089 -491.404595936341
"Sample14" -307.460913328692 -125.520807891682 -436.423262257846
"Sample15" -355.521489788002 -165.194204104559 -443.427466102196
"Sample16" -231.240081891183 -53.4495888366452 -324.980996953673
"Sample17" -6.67884150113761 93.3361431181046 -34.1536918975907
"Sample18" -52.2277668708397 71.1518672856105 -23.1700466998672
"Sample19" -48.1396107456316 84.6648073703345 -21.2432107249821
"Sample20" -391.908036017702 -305.469384236051 261.832705188253
"Sample21" -457.501045820029 -359.440356489879 267.922805978271
"Sample22" -52.6480155814027 210.407637114892 42.7618973912446
"Sample23" -0.888878332536313 40.2428160739529 -0.605852547194043
"Sample24" -229.591478676205 -72.4982624510602 -69.957836163842
"Sample25" -111.225170633621 126.761029552759 13.5454513669585
"Sample26" -304.749172390934 -143.304862232636 32.2157747772946
"Sample27" -171.094417890332 -69.0780708398412 32.9661514845478
"Sample28" -431.639262534393 -343.199778471682 226.14362627739
"Sample29" -436.57507711547 -236.960670495221 -505.278948925657
"Sample30" -95.1675641122066 37.161771475774 2.53042420930212
"Sample31" -50.3687326828302 48.73963641313 8.05116694251002
"Sample32" -219.949576409044 -33.1271051116745 176.616291133287
"Sample33" -154.725025678507 34.842336821231 -90.7805249434691
"Sample34" -71.4937639317577 115.607178533822 55.9110938350276
"Sample35" -6.72212121267231 68.8452989748503 -20.5802576915994
"Sample36" -243.780110387841 -180.323648006931 -432.519572220988
"Sample37" -345.877500672536 -205.78591909817 -502.1783878519
"Sample38" -494.592758353356 -391.758716156899 284.434622413479
"Sample39" -490.418877001732 -389.175790468399 285.113279277451
"Sample40" -41.0000779807998 88.5200933104932 -16.1847560818931
"Sample41" -164.518008924318 -16.8326834103002 189.841397159004
"Sample42" 5.21325201571499 122.625520359626 21.3292916422829
"Sample43" -135.36517277915 59.4415144446843 -101.687205517319
"Sample44" -340.448252859281 -185.537419652334 -7.7360444929277
"Sample45" -43.9952023191699 71.3580169664003 7.4086277225616
